Customer ID,Customer Segmentation Data,Customer Behavior
CID0001,Segment C,6
CID0002,Segment B,1
CID0003,Segment A,1
CID0004,Segment B,8
CID0005,Segment A,8
CID0006,Segment C,9
CID0007,Segment A,4
CID0008,Segment A,9
CID0009,Segment A,6
CID0010,Segment C,9
CID0011,Segment A,4
CID0012,Segment A,3
CID0013,Segment C,1
CID0014,Segment A,5
CID0015,Segment A,4
CID0016,Segment B,3
CID0017,Segment C,9
CID0018,Segment A,6
CID0019,Segment B,4
CID0020,Segment C,2
CID0021,Segment C,8
CID0022,Segment C,5
CID0023,Segment C,2
CID0024,Segment C,8
CID0025,Segment B,2
CID0026,Segment C,8
CID0027,Segment C,4
CID0028,Segment B,5
CID0029,Segment A,3
CID0030,Segment B,6
CID0031,Segment A,5
CID0032,Segment B,1
CID0033,Segment C,6
CID0034,Segment C,4
CID0035,Segment A,2
CID0036,Segment A,3
CID0037,Segment A,2
CID0038,Segment C,4
CID0039,Segment C,4
CID0040,Segment B,3
CID0041,Segment C,9
CID0042,Segment A,9
CID0043,Segment A,9
CID0044,Segment B,3
CID0045,Segment B,3
CID0046,Segment B,4
CID0047,Segment C,4
CID0048,Segment C,4
CID0049,Segment C,6
CID0050,Segment C,5
CID0051,Segment C,2
CID0052,Segment C,2
CID0053,Segment A,8
CID0054,Segment C,5
CID0055,Segment C,6
CID0056,Segment C,5
CID0057,Segment A,7
CID0058,Segment B,2
CID0059,Segment B,9
CID0060,Segment C,6
CID0061,Segment A,8
CID0062,Segment C,9
CID0063,Segment A,8
CID0064,Segment B,8
CID0065,Segment C,4
CID0066,Segment B,3
CID0067,Segment A,7
CID0068,Segment C,9
CID0069,Segment C,4
CID0070,Segment C,6
CID0071,Segment A,1
CID0072,Segment C,3
CID0073,Segment B,1
CID0074,Segment B,8
CID0075,Segment C,3
CID0076,Segment B,1
CID0077,Segment C,6
CID0078,Segment B,1
CID0079,Segment C,3
CID0080,Segment A,9
CID0081,Segment C,8
