Customer ID,Product ID,Quantity,Transaction Date
CID0117,SKU0016,1,01-01-2023 00:00
CID0453,SKU0018,1,01-01-2023 01:00
CID0067,SKU0030,4,01-01-2023 02:00
CID0029,SKU0029,3,01-01-2023 03:00
CID0101,SKU0011,3,01-01-2023 04:00
CID0242,SKU0027,1,01-01-2023 05:00
CID0290,SKU0032,4,01-01-2023 06:00
CID0249,SKU0008,3,01-01-2023 07:00
CID0395,SKU0003,2,01-01-2023 08:00
CID0055,SKU0003,4,01-01-2023 09:00
CID0376,SKU0010,4,01-01-2023 10:00
CID0454,SKU0023,2,01-01-2023 11:00
CID0342,SKU0003,3,01-01-2023 12:00
CID0254,SKU0004,4,01-01-2023 13:00
CID0394,SKU0014,4,01-01-2023 14:00
CID0484,SKU0005,3,01-01-2023 15:00
CID0146,SKU0028,2,01-01-2023 16:00
CID0399,SKU0026,1,01-01-2023 17:00
CID0103,SKU0013,4,01-01-2023 18:00
CID0483,SKU0005,3,01-01-2023 19:00
CID0294,SKU0008,4,01-01-2023 20:00
CID0009,SKU0028,4,01-01-2023 21:00
CID0455,SKU0012,4,01-01-2023 22:00
CID0316,SKU0008,3,01-01-2023 23:00
CID0251,SKU0016,4,02-01-2023 00:00
CID0487,SKU0015,2,02-01-2023 01:00
CID0276,SKU0015,4,02-01-2023 02:00
CID0425,SKU0002,2,02-01-2023 03:00
CID0476,SKU0018,3,02-01-2023 04:00
CID0147,SKU0021,1,02-01-2023 05:00
CID0246,SKU0006,2,02-01-2023 06:00
CID0289,SKU0014,3,02-01-2023 07:00
CID0117,SKU0006,2,02-01-2023 08:00
CID0291,SKU0021,2,02-01-2023 09:00
CID0130,SKU0013,1,02-01-2023 10:00
CID0220,SKU0003,2,02-01-2023 11:00
CID0288,SKU0029,2,02-01-2023 12:00
CID0064,SKU0026,4,02-01-2023 13:00
CID0090,SKU0029,3,02-01-2023 14:00
CID0386,SKU0014,4,02-01-2023 15:00
CID0281,SKU0030,3,02-01-2023 16:00
CID0013,SKU0018,1,02-01-2023 17:00
CID0460,SKU0031,1,02-01-2023 18:00
CID0307,SKU0009,2,02-01-2023 19:00
CID0357,SKU0005,4,02-01-2023 20:00
CID0394,SKU0006,1,02-01-2023 21:00
CID0044,SKU0029,3,02-01-2023 22:00
CID0404,SKU0025,2,02-01-2023 23:00
CID0021,SKU0016,1,03-01-2023 00:00
CID0268,SKU0008,1,03-01-2023 01:00
CID0063,SKU0031,4,03-01-2023 02:00
CID0217,SKU0032,4,03-01-2023 03:00
CID0203,SKU0030,1,03-01-2023 04:00
CID0391,SKU0013,2,03-01-2023 05:00
CID0492,SKU0003,1,03-01-2023 06:00
CID0311,SKU0014,3,03-01-2023 07:00
CID0484,SKU0012,2,03-01-2023 08:00
CID0085,SKU0015,1,03-01-2023 09:00
CID0243,SKU0002,3,03-01-2023 10:00
CID0041,SKU0015,2,03-01-2023 11:00
CID0018,SKU0003,2,03-01-2023 12:00
CID0493,SKU0006,1,03-01-2023 13:00
CID0324,SKU0022,4,03-01-2023 14:00
CID0153,SKU0029,2,03-01-2023 15:00
CID0314,SKU0025,1,03-01-2023 16:00
CID0080,SKU0020,4,03-01-2023 17:00
CID0297,SKU0027,1,03-01-2023 18:00
CID0307,SKU0018,4,03-01-2023 19:00
CID0074,SKU0025,4,03-01-2023 20:00
CID0497,SKU0008,1,03-01-2023 21:00
CID0088,SKU0022,4,03-01-2023 22:00
CID0391,SKU0030,4,03-01-2023 23:00
CID0258,SKU0024,4,04-01-2023 00:00
CID0190,SKU0006,1,04-01-2023 01:00
CID0282,SKU0001,3,04-01-2023 02:00
CID0449,SKU0019,2,04-01-2023 03:00
CID0318,SKU0030,1,04-01-2023 04:00
CID0353,SKU0026,4,04-01-2023 05:00
CID0469,SKU0031,4,04-01-2023 06:00
CID0233,SKU0023,3,04-01-2023 07:00
CID0335,SKU0013,2,04-01-2023 08:00
CID0179,SKU0027,4,04-01-2023 09:00
CID0280,SKU0008,4,04-01-2023 10:00
CID0099,SKU0005,4,04-01-2023 11:00
CID0195,SKU0024,2,04-01-2023 12:00
CID0170,SKU0025,3,04-01-2023 13:00
CID0111,SKU0001,2,04-01-2023 14:00
CID0078,SKU0029,2,04-01-2023 15:00
CID0114,SKU0004,3,04-01-2023 16:00
CID0183,SKU0015,2,04-01-2023 17:00
CID0297,SKU0029,4,04-01-2023 18:00
CID0071,SKU0030,1,04-01-2023 19:00
CID0419,SKU0020,2,04-01-2023 20:00
CID0056,SKU0025,1,04-01-2023 21:00
CID0455,SKU0008,3,04-01-2023 22:00
CID0081,SKU0023,4,04-01-2023 23:00
CID0083,SKU0004,4,05-01-2023 00:00
CID0062,SKU0023,3,05-01-2023 01:00
CID0337,SKU0031,4,05-01-2023 02:00
CID0022,SKU0030,3,05-01-2023 03:00
CID0375,SKU0031,2,05-01-2023 04:00
CID0150,SKU0023,1,05-01-2023 05:00
CID0066,SKU0029,3,05-01-2023 06:00
CID0497,SKU0018,1,05-01-2023 07:00
CID0322,SKU0011,4,05-01-2023 08:00
CID0176,SKU0022,1,05-01-2023 09:00
CID0002,SKU0015,4,05-01-2023 10:00
CID0461,SKU0028,3,05-01-2023 11:00
CID0188,SKU0014,3,05-01-2023 12:00
CID0293,SKU0028,1,05-01-2023 13:00
CID0057,SKU0004,4,05-01-2023 14:00
CID0122,SKU0028,1,05-01-2023 15:00
CID0427,SKU0005,1,05-01-2023 16:00
CID0030,SKU0031,4,05-01-2023 17:00
CID0264,SKU0025,4,05-01-2023 18:00
CID0469,SKU0009,4,05-01-2023 19:00
CID0276,SKU0013,3,05-01-2023 20:00
CID0078,SKU0018,2,05-01-2023 21:00
CID0087,SKU0010,2,05-01-2023 22:00
CID0293,SKU0012,2,05-01-2023 23:00
CID0436,SKU0013,3,06-01-2023 00:00
CID0466,SKU0015,2,06-01-2023 01:00
CID0311,SKU0028,2,06-01-2023 02:00
CID0028,SKU0016,3,06-01-2023 03:00
CID0458,SKU0004,1,06-01-2023 04:00
CID0060,SKU0015,1,06-01-2023 05:00
CID0401,SKU0014,3,06-01-2023 06:00
CID0467,SKU0011,4,06-01-2023 07:00
CID0297,SKU0013,1,06-01-2023 08:00
CID0421,SKU0004,4,06-01-2023 09:00
CID0322,SKU0021,4,06-01-2023 10:00
CID0465,SKU0005,1,06-01-2023 11:00
CID0218,SKU0006,2,06-01-2023 12:00
CID0319,SKU0017,3,06-01-2023 13:00
CID0423,SKU0011,1,06-01-2023 14:00
CID0444,SKU0029,4,06-01-2023 15:00
CID0008,SKU0017,2,06-01-2023 16:00
CID0233,SKU0029,4,06-01-2023 17:00
CID0112,SKU0006,3,06-01-2023 18:00
CID0455,SKU0013,1,06-01-2023 19:00
CID0173,SKU0024,1,06-01-2023 20:00
CID0285,SKU0016,4,06-01-2023 21:00
CID0026,SKU0026,1,06-01-2023 22:00
CID0297,SKU0010,3,06-01-2023 23:00
CID0263,SKU0029,2,07-01-2023 00:00
CID0076,SKU0008,3,07-01-2023 01:00
CID0102,SKU0002,3,07-01-2023 02:00
CID0347,SKU0030,1,07-01-2023 03:00
CID0412,SKU0011,3,07-01-2023 04:00
CID0333,SKU0021,4,07-01-2023 05:00
CID0434,SKU0030,3,07-01-2023 06:00
CID0412,SKU0022,4,07-01-2023 07:00
CID0302,SKU0006,4,07-01-2023 08:00
CID0496,SKU0009,4,07-01-2023 09:00
CID0354,SKU0007,3,07-01-2023 10:00
CID0212,SKU0014,2,07-01-2023 11:00
CID0119,SKU0021,4,07-01-2023 12:00
CID0326,SKU0025,3,07-01-2023 13:00
CID0422,SKU0014,4,07-01-2023 14:00
CID0167,SKU0019,2,07-01-2023 15:00
CID0131,SKU0030,4,07-01-2023 16:00
CID0435,SKU0009,2,07-01-2023 17:00
CID0352,SKU0029,4,07-01-2023 18:00
CID0488,SKU0003,2,07-01-2023 19:00
CID0192,SKU0013,1,07-01-2023 20:00
CID0294,SKU0025,1,07-01-2023 21:00
CID0137,SKU0018,3,07-01-2023 22:00
CID0465,SKU0023,4,07-01-2023 23:00
CID0442,SKU0027,1,08-01-2023 00:00
CID0051,SKU0028,2,08-01-2023 01:00
CID0262,SKU0023,4,08-01-2023 02:00
CID0268,SKU0021,3,08-01-2023 03:00
CID0107,SKU0009,3,08-01-2023 04:00
CID0470,SKU0005,1,08-01-2023 05:00
CID0163,SKU0017,1,08-01-2023 06:00
CID0035,SKU0026,3,08-01-2023 07:00
CID0038,SKU0010,2,08-01-2023 08:00
CID0300,SKU0023,3,08-01-2023 09:00
CID0398,SKU0021,1,08-01-2023 10:00
CID0461,SKU0012,3,08-01-2023 11:00
CID0102,SKU0022,1,08-01-2023 12:00
CID0340,SKU0030,4,08-01-2023 13:00
CID0408,SKU0009,3,08-01-2023 14:00
CID0289,SKU0015,2,08-01-2023 15:00
CID0321,SKU0029,4,08-01-2023 16:00
CID0163,SKU0024,2,08-01-2023 17:00
CID0392,SKU0029,2,08-01-2023 18:00
CID0320,SKU0021,2,08-01-2023 19:00
CID0130,SKU0024,1,08-01-2023 20:00
CID0109,SKU0026,4,08-01-2023 21:00
CID0130,SKU0027,2,08-01-2023 22:00
CID0102,SKU0026,4,08-01-2023 23:00
CID0094,SKU0032,3,09-01-2023 00:00
CID0338,SKU0008,2,09-01-2023 01:00
CID0467,SKU0026,3,09-01-2023 02:00
CID0162,SKU0002,1,09-01-2023 03:00
CID0065,SKU0019,1,09-01-2023 04:00
CID0049,SKU0017,3,09-01-2023 05:00
CID0234,SKU0001,3,09-01-2023 06:00
CID0499,SKU0031,4,09-01-2023 07:00
CID0151,SKU0020,1,09-01-2023 08:00
CID0010,SKU0028,4,09-01-2023 09:00
CID0071,SKU0018,1,09-01-2023 10:00
CID0360,SKU0011,3,09-01-2023 11:00
CID0173,SKU0011,4,09-01-2023 12:00
CID0227,SKU0027,2,09-01-2023 13:00
CID0060,SKU0024,1,09-01-2023 14:00
CID0263,SKU0010,3,09-01-2023 15:00
CID0183,SKU0020,3,09-01-2023 16:00
CID0492,SKU0015,3,09-01-2023 17:00
CID0159,SKU0004,4,09-01-2023 18:00
CID0104,SKU0015,4,09-01-2023 19:00
CID0286,SKU0016,2,09-01-2023 20:00
CID0233,SKU0018,3,09-01-2023 21:00
CID0184,SKU0023,4,09-01-2023 22:00
CID0316,SKU0015,1,09-01-2023 23:00
CID0056,SKU0006,1,10-01-2023 00:00
CID0087,SKU0015,4,10-01-2023 01:00
CID0147,SKU0032,4,10-01-2023 02:00
CID0239,SKU0011,2,10-01-2023 03:00
CID0412,SKU0004,2,10-01-2023 04:00
CID0399,SKU0017,2,10-01-2023 05:00
CID0115,SKU0002,1,10-01-2023 06:00
CID0254,SKU0025,1,10-01-2023 07:00
CID0364,SKU0014,4,10-01-2023 08:00
CID0391,SKU0008,3,10-01-2023 09:00
CID0388,SKU0006,1,10-01-2023 10:00
CID0252,SKU0010,4,10-01-2023 11:00
CID0287,SKU0021,4,10-01-2023 12:00
CID0194,SKU0009,3,10-01-2023 13:00
CID0460,SKU0003,1,10-01-2023 14:00
CID0359,SKU0029,3,10-01-2023 15:00
CID0307,SKU0028,4,10-01-2023 16:00
CID0384,SKU0011,1,10-01-2023 17:00
CID0313,SKU0003,1,10-01-2023 18:00
CID0369,SKU0019,1,10-01-2023 19:00
CID0201,SKU0011,1,10-01-2023 20:00
CID0004,SKU0001,3,10-01-2023 21:00
CID0468,SKU0012,2,10-01-2023 22:00
CID0112,SKU0016,3,10-01-2023 23:00
CID0287,SKU0018,3,11-01-2023 00:00
CID0495,SKU0002,4,11-01-2023 01:00
CID0078,SKU0024,2,11-01-2023 02:00
CID0306,SKU0011,4,11-01-2023 03:00
CID0060,SKU0009,4,11-01-2023 04:00
CID0149,SKU0014,2,11-01-2023 05:00
CID0239,SKU0009,3,11-01-2023 06:00
CID0342,SKU0020,3,11-01-2023 07:00
CID0224,SKU0001,2,11-01-2023 08:00
CID0118,SKU0027,1,11-01-2023 09:00
CID0473,SKU0006,2,11-01-2023 10:00
CID0243,SKU0028,3,11-01-2023 11:00
CID0261,SKU0009,3,11-01-2023 12:00
CID0091,SKU0009,4,11-01-2023 13:00
CID0036,SKU0016,1,11-01-2023 14:00
CID0350,SKU0020,4,11-01-2023 15:00
CID0267,SKU0007,1,11-01-2023 16:00
CID0051,SKU0009,1,11-01-2023 17:00
CID0488,SKU0001,2,11-01-2023 18:00
CID0068,SKU0016,4,11-01-2023 19:00
CID0492,SKU0015,1,11-01-2023 20:00
CID0063,SKU0027,3,11-01-2023 21:00
CID0261,SKU0022,1,11-01-2023 22:00
CID0214,SKU0019,4,11-01-2023 23:00
CID0370,SKU0031,1,12-01-2023 00:00
CID0471,SKU0029,4,12-01-2023 01:00
CID0106,SKU0031,1,12-01-2023 02:00
CID0013,SKU0005,1,12-01-2023 03:00
CID0325,SKU0019,2,12-01-2023 04:00
CID0220,SKU0032,4,12-01-2023 05:00
CID0019,SKU0025,2,12-01-2023 06:00
CID0007,SKU0002,4,12-01-2023 07:00
CID0297,SKU0012,4,12-01-2023 08:00
CID0481,SKU0004,1,12-01-2023 09:00
CID0135,SKU0025,4,12-01-2023 10:00
CID0147,SKU0014,3,12-01-2023 11:00
CID0254,SKU0024,3,12-01-2023 12:00
CID0034,SKU0028,4,12-01-2023 13:00
CID0240,SKU0031,3,12-01-2023 14:00
CID0286,SKU0024,1,12-01-2023 15:00
CID0275,SKU0004,3,12-01-2023 16:00
CID0498,SKU0024,3,12-01-2023 17:00
CID0429,SKU0026,4,12-01-2023 18:00
CID0336,SKU0009,3,12-01-2023 19:00
CID0243,SKU0014,4,12-01-2023 20:00
CID0010,SKU0023,3,12-01-2023 21:00
CID0346,SKU0005,4,12-01-2023 22:00
CID0380,SKU0001,2,12-01-2023 23:00
CID0273,SKU0021,3,13-01-2023 00:00
CID0492,SKU0002,4,13-01-2023 01:00
CID0258,SKU0020,3,13-01-2023 02:00
CID0204,SKU0020,4,13-01-2023 03:00
CID0083,SKU0019,1,13-01-2023 04:00
CID0058,SKU0009,4,13-01-2023 05:00
CID0336,SKU0007,3,13-01-2023 06:00
CID0238,SKU0002,1,13-01-2023 07:00
CID0405,SKU0032,1,13-01-2023 08:00
CID0133,SKU0009,4,13-01-2023 09:00
CID0482,SKU0022,1,13-01-2023 10:00
CID0169,SKU0003,4,13-01-2023 11:00
CID0081,SKU0018,1,13-01-2023 12:00
CID0157,SKU0022,2,13-01-2023 13:00
CID0119,SKU0020,1,13-01-2023 14:00
CID0260,SKU0017,4,13-01-2023 15:00
CID0418,SKU0011,1,13-01-2023 16:00
CID0076,SKU0029,4,13-01-2023 17:00
CID0046,SKU0017,3,13-01-2023 18:00
CID0316,SKU0013,4,13-01-2023 19:00
CID0024,SKU0028,1,13-01-2023 20:00
CID0061,SKU0023,3,13-01-2023 21:00
CID0388,SKU0012,4,13-01-2023 22:00
CID0330,SKU0020,2,13-01-2023 23:00
CID0451,SKU0031,4,14-01-2023 00:00
CID0188,SKU0009,4,14-01-2023 01:00
CID0478,SKU0025,3,14-01-2023 02:00
CID0119,SKU0011,3,14-01-2023 03:00
CID0413,SKU0030,2,14-01-2023 04:00
CID0443,SKU0028,2,14-01-2023 05:00
CID0496,SKU0014,2,14-01-2023 06:00
CID0055,SKU0016,3,14-01-2023 07:00
CID0206,SKU0005,4,14-01-2023 08:00
CID0252,SKU0002,1,14-01-2023 09:00
CID0227,SKU0012,2,14-01-2023 10:00
CID0046,SKU0019,2,14-01-2023 11:00
CID0246,SKU0031,1,14-01-2023 12:00
CID0284,SKU0006,2,14-01-2023 13:00
CID0396,SKU0007,2,14-01-2023 14:00
CID0084,SKU0013,4,14-01-2023 15:00
CID0140,SKU0010,2,14-01-2023 16:00
CID0173,SKU0030,2,14-01-2023 17:00
CID0126,SKU0018,2,14-01-2023 18:00
CID0360,SKU0002,4,14-01-2023 19:00
CID0010,SKU0027,3,14-01-2023 20:00
CID0200,SKU0001,1,14-01-2023 21:00
CID0497,SKU0018,2,14-01-2023 22:00
CID0234,SKU0031,3,14-01-2023 23:00
CID0083,SKU0017,1,15-01-2023 00:00
CID0217,SKU0024,3,15-01-2023 01:00
CID0336,SKU0014,4,15-01-2023 02:00
CID0407,SKU0020,3,15-01-2023 03:00
CID0172,SKU0023,4,15-01-2023 04:00
CID0429,SKU0017,2,15-01-2023 05:00
CID0032,SKU0023,4,15-01-2023 06:00
CID0294,SKU0004,1,15-01-2023 07:00
CID0473,SKU0013,4,15-01-2023 08:00
CID0241,SKU0007,2,15-01-2023 09:00
CID0285,SKU0004,4,15-01-2023 10:00
CID0446,SKU0024,3,15-01-2023 11:00
CID0077,SKU0031,3,15-01-2023 12:00
CID0093,SKU0022,1,15-01-2023 13:00
CID0376,SKU0010,1,15-01-2023 14:00
CID0084,SKU0010,2,15-01-2023 15:00
CID0448,SKU0027,4,15-01-2023 16:00
CID0423,SKU0014,2,15-01-2023 17:00
CID0067,SKU0001,3,15-01-2023 18:00
CID0292,SKU0025,3,15-01-2023 19:00
CID0255,SKU0012,3,15-01-2023 20:00
CID0268,SKU0028,1,15-01-2023 21:00
CID0110,SKU0017,1,15-01-2023 22:00
CID0137,SKU0005,1,15-01-2023 23:00
CID0059,SKU0002,2,16-01-2023 00:00
CID0236,SKU0012,4,16-01-2023 01:00
CID0401,SKU0011,3,16-01-2023 02:00
CID0247,SKU0001,3,16-01-2023 03:00
CID0289,SKU0020,2,16-01-2023 04:00
CID0064,SKU0018,2,16-01-2023 05:00
CID0486,SKU0022,1,16-01-2023 06:00
CID0109,SKU0001,4,16-01-2023 07:00
CID0164,SKU0007,1,16-01-2023 08:00
CID0268,SKU0024,1,16-01-2023 09:00
CID0125,SKU0015,3,16-01-2023 10:00
CID0450,SKU0005,4,16-01-2023 11:00
CID0007,SKU0028,3,16-01-2023 12:00
CID0226,SKU0011,3,16-01-2023 13:00
CID0028,SKU0013,1,16-01-2023 14:00
CID0465,SKU0030,4,16-01-2023 15:00
CID0319,SKU0022,4,16-01-2023 16:00
CID0308,SKU0006,1,16-01-2023 17:00
CID0274,SKU0011,4,16-01-2023 18:00
CID0365,SKU0027,2,16-01-2023 19:00
CID0402,SKU0019,3,16-01-2023 20:00
CID0304,SKU0032,4,16-01-2023 21:00
CID0034,SKU0020,1,16-01-2023 22:00
CID0156,SKU0016,4,16-01-2023 23:00
CID0029,SKU0025,4,17-01-2023 00:00
CID0017,SKU0006,4,17-01-2023 01:00
CID0313,SKU0022,2,17-01-2023 02:00
CID0478,SKU0007,4,17-01-2023 03:00
CID0393,SKU0011,2,17-01-2023 04:00
CID0300,SKU0028,1,17-01-2023 05:00
CID0321,SKU0002,3,17-01-2023 06:00
